name,product_url,sku,price,summary,description,features,specs_json,image_urls,source_url,category_id,view_count,unused
F9060R4_Máy in UV dạng bàn hiệu YOTTA,https://vprintmachinery.com/san-pham/F9060R4May-in-UV-dang-ban-hieu-YOTTA-121.html, Yotta F9060R4,Giá: Liên hệ,"Máy in UV chất lượng cao khổ máy 900x600mm, đầu in công nghiệp Ricoh G4 công nghiệp, máy có độ bền, độ phân giải và tốc độ cao nhất thị trường.","Máy in UV hiệu YOTTA| Máy in trên mọi chất liệu và bề mặt cho quảng cáo và trang trí nội thất VPrint xin giới thiệu dòng máy in UV dạng tấm flatbed hiệu Yotta. Máy được trang bị đầu in Ricoh công nghiệp thế hệ 4, có hệ thống gia nhiệt đầu in, hạt mực phun thay đổi từ 7pl đến 35pl nên dễ dàng đạt độ phân giải cao nhất trên thị trường 600x2400dpi, đầu in bằng thép không rỉ có khả năng chống mài mòn cao nên có tuổi thọ lớn có thể lên đến 5 năm. Dòng máy in này với hệ cơ khí được chế tạo ở cấp chính xác cao lên đến mimicromet và được trang bị động cho secvo của Panasonic bền và chính xác nên cho hình ảnh in cực kỳ sắc nét và chính xác. Máy in Yotta dạng bàn khổ 900x600mm, YD-F9060R4","Tại sao nên chọn máy in UV dạng tấm hiệu Yotta? - Đầu in công nghiệp thế hệ 4 của Ricoh bằng thép không rỉ cho tuổi thọ cao. - Độ phân giải (600x2400 dpi). - Đèn UV LED sản xuất tại Mỹ có hiệu suất cao và tuổi thọ bền (lên đến 30.000 giờ sử dụng) hơn loại đèn UV thủy ngân thông thường. - Nhiều màu- từ 4 đến 7 màu c - Máy in đạt chứng chỉ CE, RoHS và sở hữu nhiều bằng sáng chế. - Hệ thống tự động chống va chạm để bảo vệ đầu in. - Tự động định vị trí và chiều cao vật liệu cần in. - Máy được trang bị bàn hút chân không để giữ ổn định vật liệu mỏng, bản hút chân không được chi thành từng vùng để tối ưu việc sử dụng. - Hệ thống áp suất âm giúp hình ảnh in sống động hơn đồng thời tiết kiệm mực in và bảo vệ đầu in. - Tự động định vị trí và chiều cao vật liệu cần in cho phép in lên đến cao đến 100 mm ( tùy chọn 450mm). - Máy có độ chính xác cao lên đến 1micromet cho phần cơ khí. - Động cơ servo của Panasonic cho phép điều khiển chính xác các chuyển động. - Hệ thống đường ray đôi Hiwin của Đài Loan giúp tăng độ ổn định và giảm độ ồn. - Máy được thiết kế để có thể hoạt động 24/7.","{""Model"": ""YD-F9060R4"", ""Kích thước vùng in"": ""900x600mm"", ""Số đầu in"": ""từ 4-8 cái (cho 4 đến 8 màu)"", ""Chế độ in"": ""Một chiều/hai chiều"", ""Đầu in/Công nghệ in"": ""Ricoh Gen4/ Grey level Piezo"", ""Mực"": ""Lm, Lc, Y,M,C,K (tùy chọn)/Mục UV thân thiện môi trường (No VOC)"", ""Mực đặc biệt"": ""Mực UV trắng hoặc mực UV vecni"", ""Độ phân giải"": ""600x2400dpi"", ""Phần mềm"": ""PhotoPrint"", ""File format"": ""Adobe Postcript level3, PDF, JPEG, TIFF, EPS, AI"", ""Chiều dày vật liệu"": ""100mm"", ""Vật liệu có thể in"": ""đá, gỗ, vải, kim loại, thủy tinh... cứng và mềm"", ""Nguồn yêu cầu"": ""AC 220V, 50/60Hz, 2.4 KW"", ""Kích thước máy (LxWxH), khối lượng"": ""1850x1400x1100mm, 400Kg""}",https://vprintmachinery.com/upload/sanpham/yd-f9060r4-may-in-uv-flatbed-printer-9461.jpg,,,,
Máy bế nhãn cuộn KTS Eclipse LF220-EL/LF3,https://vprintmachinery.com/san-pham/May-be-nhan-cuon-KTS-Eclipse-LF220ELLF3-190.html,,Giá: Liên hệ,"Máy thành phẩm nhãn KTS Eclipse LF220-EL và LF3 là giải pháp hoàn hảo cho gia công thành phẩm nhãn. Máy được thiết kế nhỏ gọn gồm đơn vị cán màng, cắt KTS, đơn vị thu chia cuộn, thu vật liệu thừa và bảng điều khiển dễ sử dụng.",,- Cắt được mọi loại hình dạng kích thước nhãn. - Hoạt động với hầu hết các máy in nhãn để bàn. - Gắn cuộn và xả cuộn đơn giản. - Bảng điều khiển nhỏ gọn và dễ sử dụng. - Sử dụng phần mềm điều khiển từ Summa.,"{""Eclipse LF220-EL"": {""Khổ giấy sử dụng"": ""100-220mm"", ""Tốc độ (max)"": ""800mm"", ""Tốc độ bế"": ""Phụ thuộc vào hình bế"", ""Lực cắt"": ""400 grams trong 1 bước 1 gram"", ""Kỹ thuật cắt"": ""Dao kéo"", ""Bon định vị"": ""1 bon"", ""Chiều dài khổ bế lặp lại"": ""20-355mm"", ""Cán màng"": ""Hỗ trợ cán màng keo"", ""Đường kính cuộn nhãn (max)"": ""300mm"", ""Đường kính lõi"": ""76mm"", ""Phần mềm"": ""WinPlot (plug-ins cho AI, Corel)"", ""Nguồn điện"": ""220VAC"", ""Kích thước (W:D:H"": ""860:520:575"", ""Trọng lượng"": ""75kg""}, ""Eclipse LF3"": {""Khổ giấy sử dụng"": ""100-220mm"", ""Tốc độ (max)"": ""800mm"", ""Tốc độ bế"": ""Phụ thuộc vào hình bế"", ""Lực cắt"": ""400 grams trong 1 bước 1 gram"", ""Kỹ thuật cắt"": ""Dao kéo"", ""Bon định vị"": ""1 bon"", ""Chiều dài khổ bế lặp lại"": ""20-355mm"", ""Cán màng"": ""Tùy chọn gắn thêm"", ""Đường kính cuộn nhãn (max)"": ""300mm"", ""Đường kính lõi"": ""76mm"", ""Phần mềm"": ""WinPlot (plug-ins cho AI, Corel)"", ""Nguồn điện"": ""220VAC"", ""Kích thước (W:D:H"": ""860:520:575"", ""Trọng lượng"": ""100kg""}}",https://vprintmachinery.com/upload/sanpham/lf3_cut_out-8031.jpg,,,,
Máy ép nhũ và in lụa nhãn cuộn 330FB,https://vprintmachinery.com/san-pham/May-ep-nhu-va-in-lua-nhan-cuon-330FB-288.html, 330FB,Giá: Liên hệ,Máy ép nhũ nóng và in lụa nhãn cuộn xuất xứ Đan Mạch.,"VPRINT MACHINERY - GIẢI PHÁP MỚI CHO NGÀNH IN VÀ BAO BÌ 330FB cung cấp giải pháp gia tăng giá trị cho sản phẩm nhãn mác cao cấp bằng nhũ nóng và in lụa với hiệu suất và chất lượng cao. Với khả năng chồng vị trí chính xác, áp lực lên đến 50 tấn và tốc độ sản xuất cao, 330FB sẽ giúp quá trình thành phẩm nhãn tăng khả năng cạnh tranh trong thị trường nhãn cao cấp. Máy có chức năng ép nhũ nóng, in lụa, dập nổi hoặc dập nổi và ép nhũ chỉ với 1 pass. Máy ép nhũ và in lụa nhãn cuộn 330FB Chất lượng gia công cao cấp của 330FB","+ Đơn vị ép nhũ mới, sản sinh áp lực lên đến 50 tấn + Đơn vị in lụa mới tốc độ cao + Công nghệ tiến kiệm nhũ tiên tiến Foil Saver + Hệ thống định vị thông minh cho nhũ hologram SmartRegister + Hệ thống in lụa UV chính xác cao với đèn UV có thể di chuyển - cho phép phủ varnish với độ dày lớn theo nhu cầu + Nền tảng điện tử mới, đảm bảo máy vận hành tốt hơn và cho phép hỗ trợ trực tuyến","{""Khổ rộng cuộn"": ""50 – 350 mm"", ""Độ dày vật liệu"": ""50 – 200 µm"", ""Tốc độ tối đa"": ""20 m/phút"", ""Kích thước khuôn nhũ (WxD)"": ""330 x 304.8 mm"", ""Kích thước vùng in"": ""330 x 330 mm"", ""Độ dài lặp lại tối đa"": ""1 m"", ""Kích thước khung lụa (WxDxH)"": ""660 x 500 x 30"", ""Đường kính xả cuộn tối đa"": ""500 mm"", ""Đường kính lõi"": ""25 – 152.4 mm"", ""Kích thước máy"": ""5 x 1.4 x 1.9 m""}","https://vprintmachinery.com/upload/hinhthem/Untitled-7930.png, https://vprintmachinery.com/upload/hinhthem/gmnewdc350finalhotfoilsamp-2318.png, https://vprintmachinery.com/upload/hinhthem/xtactile-6932.png, https://vprintmachinery.com/upload/sanpham/330fb-041219-cl-1200x556-1592.png",,,,
Máy gấp công nghiệp khổ lớn,https://vprintmachinery.com/san-pham/May-gap-cong-nghiep-kho-lon-247.html, 660T/780T,Giá: Liên hệ,"Máy gấp giấy công nghiệp song song + vuông góc khổ lớn 660x1040 mm, 780x1160 mm.","Máy gấp giấy công nghiệp tốc độ cao, có thể gấp được nhiều loại giấy , khổ giấy lớn lên đến 780x1160 mm. Với các cấu hình 4 túi, 6 túi kết hợp với các đơn vị gấp vuông góc kiểu dao (lên đến 3 dao) hoặc kiểu túi (lên đến 4 túi vuông góc). Cho khách hàng sự lựa chọn đa dạng về cấu hình theo nhu cầu.","Một số cấu hình máy gấp khổ lớn: Máy gấp 6 túi song song + 4 túi vuông góc (660T) Máy gấp công nghiệp 6 túi song song + 4 túi vuông góc, khổ 660x1040 mm Thông số kỹ thuật: Khổ giấy tối đa 660*1040mm Khổ giấy tối thiểu 100*150mm Định lượng giấy 50gsm-157gsm Tốc độ tối đa 180m/min Độ cao chồng giấy tối đa 500mm Công suất 5.5kw Khối lượng 1800kg Kích thước 5200(L)*1450(W)*1600(H)MM Máy gấp 6 túi + 3 dao (660T) Máy gấp 6 túi + 3 dao, khổ 660x1040 mm Thông số kỹ thuật: Khổ giấy tối đa 660*1040 mm Khổ giấy tối thiểu 100*150 mm Định lượng giấy 45 gsm-150 gsm Tốc độ tối đa 180 m/phút Độ cao chồng giấy tối đa 500 mm Chu kỳ hạ dao tối đa 200 lần/phút Công suất 5.5 kw Khối lượng 1500 kg Kích thước 3750(L)*1450(W)*1600(H)MM Máy gấp 4 túi + 3 dao (780T) Máy gấp 4 túi + 3 dao, khổ 780x1160 mm Thông số kỹ thuật: Khổ giấy tối đa 780*1160 mm Khổ giấy tối thiểu 100*200 mm Định lượng giấy 45 gsm-150 gsm Tốc độ tối đa 180 m/phút Độ cao chồng giấy tối đa 500 mm Chu kỳ hạ dao tối đa 200 lần/phút Công suất 5.5 kw Khối lượng 2200 kg Kích thước 5200(L)*1600(W)*1650(H)MM",,"https://vprintmachinery.com/upload/hinhthem/660T-6b4tb-3193.jpg, https://vprintmachinery.com/upload/hinhthem/780-4B3K-6761.jpg, https://vprintmachinery.com/upload/sanpham/660T-4b+3k-0728.jpg",,,,
Máy in phun đen trắng tốc độ cao Swift440,https://vprintmachinery.com/san-pham/May-in-phun-den-trang-toc-do-cao-Swift440-348.html, Swift440,Giá: Liên hệ,"Swift440 là máy in phun đen trắng công nghiệp tốc độ cao, nổi bật với hiệu suất ấn tượng 140m/phút và công nghệ Single-Pass tiên tiến. Máy đảm bảo chất lượng in ổn định 24 giờ với độ phân giải 1200x1200dpi, lý tưởng cho sách và ấn phẩm định kỳ. Thiết kế nhỏ gọn giúp tiết kiệm không gian, trong khi phần mềm thông minh (tự động làm sạch, quản lý đơn hàng nhanh) giúp tối ưu hóa quy trình sản xuất, tiết kiệm chi phí vận hành.","Swift440 là máy in phun đen trắng tốc độ cao được thiết kế cho sản xuất công nghiệp, mang lại sự cân bằng hoàn hảo giữa tốc độ siêu nhanh và chất lượng in đáng tin cậy. Với công nghệ Single-Pass đột phá, Swift440 đạt tốc độ ấn tượng 140m/phút, giúp tăng năng suất vượt trội. Máy có thiết kế nhỏ gọn, vận hành linh hoạt, tiết kiệm không gian và chi phí. Độ phân giải cao 1200x1200dpi cùng đầu phun áp điện chính xác đảm bảo hình ảnh tinh tế, sắc nét. Swift440 hỗ trợ sản xuất liên tục 24 giờ nhờ hệ thống làm mát bằng nước và nạp giấy servo ổn định. Ngoài ra, Swift440 tích hợp phần mềm thông minh (quản lý đơn hàng nhanh chóng, tự động làm sạch vòi phun) và hỗ trợ in trên đa dạng chất liệu giấy (giấy offset, kỹ thuật số, báo...). Đây là giải pháp lý tưởng để tối ưu hóa chất lượng in sách và ấn phẩm định kỳ.","Cấu hình in tiết kiệm chi phí Máy có thiết kế nhỏ gọn, hoạt động linh hoạt, tiết kiệm nhiều không gian làm việc. Tốc độ in lên tới 140m/phút, kết hợp sản xuất tốc độ cao với tính linh hoạt trong vận hành Chiều rộng in đạt 460mm, mở rộng phạm vi ứng dụng của khách hàng Chất lượng in ổn định và đáng tin cậy Được trang bị vòi phun áp điện phun mực theo yêu cầu có độ chính xác cao, bền bỉ Được trang bị hệ thống làm mát bằng nước cho bìa và giấy để đảm bảo sự ổn định trong sản xuất Chất lượng in ổn định, hỗ trợ sản xuất 24 giờ Hệ thống nạp giấy được điều khiển bởi động cơ servo và có độ ổn định cao Hiệu ứng hình ảnh chính xác và tinh tế Sử dụng công nghệ Single-Pass, in không tiếp xúc, đúc một lần Đầu in phun ra những giọt mực nhỏ và hiệu ứng hình ảnh in được tinh chỉnh cao. Độ chính xác in lên đến 1200x1200dpi, với hình ảnh tinh tế và màu sắc tươi sáng Mực in gốc nước bốn màu thân thiện với môi trường, tái tạo màu sắc phong phú Hoạt động thông minh nhanh chóng và tiện lợi Phần mềm tích hợp cao cho phép chấp nhận đơn hàng nhanh chóng, thay đổi đơn hàng liền mạch, tùy chỉnh lô nhỏ và các chức năng khác Giao diện vận hành thân thiện, dễ hiểu và sử dụng nhanh chóng Chức năng tự động làm sạch vòi phun và tự động giữ ẩm Hệ thống nạp giấy có chức năng báo động tự động và tự động tắt khi cuộn giấy hết, rất tiện lợi khi vận hành. Cắt và xếp hàng Với chức năng cân bằng giấy, cuộn giấy nhỏ cũng có thể in bình thường Cắt theo đường, xếp chồng lệch và đầu ra riêng biệt Chiều dài cắt đạt 660mm (tùy chọn 880mm) Tối ưu hóa chất lượng in sách và ấn phẩm định kỳ Hỗ trợ in trên nhiều loại giấy khác nhau bao gồm giấy offset, giấy kỹ thuật số, giấy tráng phủ, giấy báo, v.v. Có chức năng loại bỏ bụi và loại bỏ tĩnh điện Chức năng bù đầu phun có thể giảm thiểu các vấn đề về chất lượng in do đầu phun nghiêng hoặc đầu phun bị tắc","{""Swift440"": ""Thông số Kỹ thuật"", ""Đầu in (Print head)"": ""Đầu in thang độ xám áp điện Micro (Micro piezoelectric grayscale printhead)"", ""Loại mực (Ink type)"": ""Mực gốc nước bảo vệ môi trường (Water-based pigment ink)"", ""Phương thức in (Printing mode)"": ""In hai mặt đen trắng (Single black double-sided)"", ""Tốc độ sản xuất (Production Speed)"": ""1200*600dpi: 60m/phút; 1200*1200dpi: 120m/phút"", ""Năng suất (Productivity)"": ""808 tờ A4 (Hai mặt) / phút"", ""Độ phân giải (Resolution)"": ""1200*600dpi/1200*1200dpi"", ""Chiều rộng cuộn tối đa (Max. Roll width)"": ""460mm"", ""Chiều rộng in tối đa (Max. Print width)"": ""460mm"", ""Loại giấy (Paper type)"": ""Chấp nhận giấy kỹ thuật số (digital), giấy offset, giấy tráng (coated), giấy nhẹ (lightweight)"", ""Phạm vi định lượng giấy (Paper weight)"": ""45–157g"", ""Phần mềm (Software)"": ""Phần mềm quản lý in phun kỹ thuật số Flora (Flora digital inkjet print manager)"", ""Cơ cấu nạp cuộn (Unwinding Unit)"": ""Cuộn độc lập tích hợp (Integrated independent roll up)"", ""Đường kính cuộn tối đa (Max. Paper Roll diameter)"": ""1200mm"", ""Chiều rộng cuộn tối đa (Max. Paper Roll width)"": ""460mm"", ""Chức năng"": ""Thông qua bộ đệm giấy và máy in phun, sẽ tự động cắt tờ đơn và phân tách đầu ra."", ""Phạm vi định lượng giấy cắt (Cut paper weight)"": ""45–157g"", ""Chiều rộng giấy (Paper width)"": ""460mm"", ""Chiều rộng xếp chồng (Stack width)"": ""460mm"", ""Chiều dài cắt (Sheet length)"": ""150–660mm (Tùy chọn 880mm)"", ""Chức năng cắt và xếp chồng liên tục"": ""Cắt liên tục, xếp chồng lệch, tách biệt đầu ra (Line cutting, staggered stacking, split output)"", ""Quy cách xếp chồng (Stacking specification)"": ""16 tờ/khổ ngang hai mặt, 8 tờ/khổ ngang một mặt, 4 tờ/khổ dọc một mặt"", ""Điện áp, Điện & Môi trường"": ""380V±10%, 50/60Hz±1Hz, Công suất tối đa 6KW, 24–28°C, 50–70% (Không ngưng tụ)"", ""Kích thước & Trọng lượng (Dimensions and weight)"": ""7300*2200*2100mm, 5000kg""}",https://vprintmachinery.com/upload/sanpham/Swift440-6947.png,,,,
Máy làm quai túi xoắn tự động VP-YSB,https://vprintmachinery.com/san-pham/May-lam-quai-tui-xoan-tu-dong-VPYSB-232.html, NW-YSB,Giá: Liên hệ,"Máy làm quai túi xoắn tự động cho túi giấy sử, dụng Keo nước/Keo nóng chảy","Máy làm quai túi xoắn tự động là thiết bị chủ yếu hỗ trợ máy làm túi giấy bán tự động. Sản xuất quai xách dạng xoắn cho túi giấy, sau đó dán vào túi giấy không quai ở công đoạn tiếp theo để tạo thành túi giấy có quai xách. Quai túi xoắn được tạo từ vật tư là hai dải giấy hẹp và một dây giấy được cắt ra từ cuộn rồi dán lại, sau đó cắt ra từng phần. Ngoài ra, máy còn có chức năng đếm và dán tự động giúp nâng cao hiệu quả các thao tác xử lý tiếp theo của người sử dụng lên nhiều lần. Máy làm quai túi xoắn tự động NW-YSB","HÌNH ẢNH SẢN PHẨM Hình minh họa dây túi xoắn Quá trình sản xuất quai túi xoắn Dễ dàng vận hành và có thể sản xuất tay quai túi giấy với tốc độ cao, thường đạt đến 130 cặp/phút. Chúng tôi thiết kế và cung cấp dây chuyền sản xuất tự động tùy chọn, có thể dán tự động thay thế quy trình dán thủ công để giúp giảm chi phí lao động. Chúng tôi khuyến nghị mạnh mẽ các nhà máy sản xuất túi giấy sử dụng dây chuyền sản xuất tự động cũng như hỗ trợ tùy chỉnh cấu hình. Đơn vị túi giấy có thể nâng vật nặng tối đa 15 kg khi lực căng của nguyên liệu thô đạt đến một mức nhất định. Sử dụng thiết bị nấu keo Huangshang của Đài Loan với các điểm dịch vụ ở nhiều quốc gia, có thể cung cấp cho khách hàng dịch vụ nhanh nhất.","{""Đường kính lõi cuộn giấy"": ""Φ76 mm(3'')"", ""Đường kính cuộn tối đa"": ""Φ1000mm"", ""Tốc độ sản xuất"": ""5000-8000 cặp/giờ"", ""Nguồn điện yêu cầu"": ""380V"", ""Công suất tổng"": ""7.8KW"", ""Tổng khối lượng"": ""1500kg"", ""Kích thước tổng quan"": ""L4000*W1300*H1500mm"", ""Chiều dài giấy"": ""190mm (Tùy chọn)"", ""Khoảng cách đầu dây quai"": ""95mm(Optional)"", ""Chiều rộng giấy"": ""35/40mm"", ""Chiều cao dây giấy"": ""100mm"", ""Đường kính cuộn giấy"": ""3.0-4mm"", ""Loại keo"": ""Keo nóng chảy""}","https://vprintmachinery.com/upload/hinhthem/m2-7242.jpg, https://vprintmachinery.com/upload/sanpham/m1-4213.jpg",,,,
"Máy in offset Komori Lithrone L440, khổ 72x102cm đời 2004",https://vprintmachinery.com/san-pham/may-in-offset-komori-lithrone-l440-kho-72x102cm-doi-2004-29.html, Komori Lithrone L440,Giá: Liên hệ,Thay bản kẽm tự động Có bắn chéo trục Tự động set khổ giấy Hệ thống làm ẩm Thay bản kẽm bán tự động PDM monitor Có bàn PQC,,,,https://vprintmachinery.com/upload/sanpham/komori-lithrone-l440-2004-may-in-offset-4-mau-4-3896.jpg,,,,
Titan 200,https://vprintmachinery.com/san-pham/Titan-200-74.html, Titan 200,Giá: Liên hệ,"Máy cắt lập trình 20 "". Máy chạy bằng thủy lực, an toàn, năng suất và bền phù hợp với hầu hết ngân sách đầu tư.","Bảng điều khiển màn hình cảm ứng Với thị trường in kỹ thuật số ngày nay đặt ra yêu cầu lớn về doanh nghiệp của bạn, một số quyết định có thể khó khăn. Đầu tư vào các công cụ in khổ rộng, máy in phun và in kỹ thuật số tiên tiến đảm bảo bạn đáp ứng các nhu cầu đa dạng của khách hàng, nhưng có rất nhiều sự lựa chọn! Khi nói đến việc chọn máy cắt giấy tiếp theo của bạn, cái này dễ dàng ... bước lên đến một Titan 200! Titan 200 tiếp tục sự xuất sắc của sự đổi mới và sức mạnh mà chúng tôi đã trở nên nổi tiếng từ năm 1870 . Titan 200 dựa trên cấu trúc gang và thép chắc chắn cho độ bền tối đa. Bề mặt giằng UHMW, đèn đường LED, và bảng nhôm công cụ rắn dày một inch yêu cầu hầu như không cần bảo trì trong nhiều năm hoạt động không gặp sự cố. Trình điều khiển trực quan cho phép nhập dữ liệu biến đổi với tối đa 99 công việc / 9,801 tổng vị trí cắt. Việc kiểm soát áp suất kẹp điện tử tùy chọn giảm thiểu lãng phí. Máy tự chẩn đoán và chỉ báo lỗi đi vào nhà điều hành thông qua bất kỳ khó khăn tiềm năng nào. Titan 200 đáp ứng các tiêu chuẩn an toàn khó khăn nhất trong ngành công nghiệp hiện nay. Rèm an toàn ánh sáng, bảng phía sau kèm theo, các nút cắt hai tay và chốt an toàn dao đóng góp vào chứng nhận UL và CE của chúng tôi. Tự hào được sản xuất tại Mỹ, The Titan 200 tiếp tục di sản của chúng tôi cung cấp ... đảm bảo bạn đã đưa ra quyết định đúng đắn.","Cắt và kẹp hoàn toàn bằng thủy lực Kết cấu thép và gang chắc chắn đảm bảo nhiều năm hoạt động không gặp sự cố Bảng nhôm công cụ dày 1 inch dày cung cấp bề mặt làm việc mạnh mẽ cần thiết trong môi trường sản xuất Ánh sáng đèn LED màu đỏ sáng rất dễ nhìn và không cần thay thế trong tương lai Điều chỉnh áp suất kẹp điện tử tùy chọn Bộ điều khiển hoàn toàn có thể lập trình cung cấp hoạt động trực quan và tổng dung lượng cắt lên đến 9,801","{""Chiều rộng cắt tối đa:"": ""20 \""/ 50,8cm"", ""Cắt tối thiểu: không có tấm kẹp giả"": ""1/2 \""/ 13mm"", ""với tấm kẹp giả"": ""3 \""/ 7,6cm"", ""Độ sâu cắt tối đa:"": ""20 \""/ 50,8cm"", ""Kẹp mở: không có tấm kẹp giả"": ""3-1 / 4 \""/ 8cm"", ""Phương pháp kẹp"": ""Thủy lực và thủ công"", ""Kiểm soát cử chặn giấy"": ""Điện"", ""Không gian bảng: trước mặt dao"": ""15-1 / 4 \""/ 39cm"", ""đằng sau dao"": ""20 \""/ 51cm"", ""Chiều cao tổng thể"": ""53 \""/ 135cm"", ""Chiều rộng tổng thể"": ""36 \""/ 91cm"", ""Tổng chiều dài"": ""49-5 / 8 \""/ 126cm"", ""Trọng lượng tịnh (gần đúng)"": ""795 lbs / 361 kg"", ""Trọng lượng vận chuyển (gần đúng)"": ""920 lbs / 418 kg""}",https://vprintmachinery.com/upload/sanpham/titan_200-8453.jpg,,,,
Máy in phun carton 2 trong 1,https://vprintmachinery.com/san-pham/May-in-phun-carton-2-trong-1-339.html, VPM-C2500-12H,Giá: Liên hệ,"Máy in phun carton 2 trong 1 với 2 chế độ in linh hoạt: Multi-pass và Single-pass. In vật liệu khổ in đến 2600mm. Không cần khuôn, không lãng phí vật liệu, không phụ thuộc nhân công. Có thể sử dụng linh hoạt các loại mực (mực DYE, mực PIGMENT, mực UV)","1. Sử dụng đầu in công nghiệp mới nhất của Epson. 2. Chức năng in: hoa văn, mã QR, mã vạch, mã giám sát thuốc, ký tự, hình ảnh, v.v. 3. Tốc độ vượt trội: 1200m²/h (Multi-pass) & 50m/phút (Single-pass) 4. In màu C, M, Y, K. 5. Vật liệu in: carton sóng, carton tổ ong, giấy kraft, gỗ mỏng và các vật liệu thấm hút nước khác 6. Tiết kiệm chi phí, thân thiện với môi trường và dễ vận hành Tham khảo thêm thiết bị liên quan: Máy in phun 1 pass Máy in phun carton multi pass Máy in EFI Nozomi 14000 Led Máy cắt bế carton KTS","1. Sử dụng đầu in công nghiệp mới nhất của Epson. 2. Chức năng in: hoa văn, mã QR, mã vạch, mã giám sát thuốc, ký tự, hình ảnh, v.v. 3. Tốc độ vượt trội: 1200m²/h (Multi-pass) & 50m/phút (Single-pass) 4. In màu C, M, Y, K. 5. Vật liệu in: carton sóng, carton tổ ong, giấy kraft, gỗ mỏng và các vật liệu thấm hút nước khác 6. Tiết kiệm chi phí, thân thiện với môi trường và dễ vận hành","{""KÍCH THƯỚC CHỮ NHỎ NHẤT CÓ THỂ IN ĐƯỢC"": ""1.5mm Digital, English 1.5mm"", ""ĐỊNH DẠNG FILE HỖ TRỢ"": ""PDF, JPG, BMP, TIFF, TIF"", ""CẤU HÌNH MÀU"": ""C, M, Y, K"", ""MỰC CÓ THỂ SỬ DỤNG ĐƯỢC"": ""Mực DYE, mực PIGMENT, mực UV"", ""ĐẦU IN"": ""Epson I3200"", ""TỐC ĐỘ KHÔ MỰC"": ""Khô ngay lập tức sau khi in"", ""HỆ THỐNG CUNG CẤP MỰC"": ""Hệ thống bình cấp phụ, Hệ thống cấp mực tự động kín hoàn toàn"", ""MÔI TRƯỜNG LÀM VIỆC"": ""Nhiệt độ phòng 15-32C, độ ẩm 70%"", ""BÀN IN"": ""Hệ thống băng tải thế hệ mới với lực hút chân không mạnh mẽ"", ""BỘ NẠP LIỆU"": ""Hệ thống nạp liệu tiên tiến nhất “Leading edge” hoặc nạp bằng băng tải"", ""KÍCH THƯỚC MÁY"": ""4260mm x 2000mm x 1900mm"", ""CÔNG SUẤT TỐI ĐA"": ""Sấp xỉ 10KW"", ""NGUỒN ĐIỆN"": ""380 VAC (3 pha), 50/60Hz"", ""PHẦN MỀM RIP"": ""Hỗ trợ in trực tiếp không cần phải chuyển đổi hình ảnh"", ""ĐỘ DÀY VẬT LIỆU IN"": ""2 – 30mm"", ""TRỌNG LƯỢNG MÁY"": ""2500Kg"", ""KÍCH THƯỚC TỐI ĐA CỦA VẬT LIỆU CÓ THỂ NẠP"": ""2600mm x không giới hạn chiều dài""}",https://vprintmachinery.com/upload/sanpham/May-in-phu-carton-6567.png,,,,
Dây chuyền làm tập vở khâu chỉ COMPO-B104,https://vprintmachinery.com/san-pham/Day-chuyen-lam-tap-vo-khau-chi-COMPOB104-287.html, COMPO-B104,Giá: Liên hệ,"Dây chuyền sản xuất tập vở khâu chỉ từ giấy cuộn. Chất lượng cao, xuất xứ Ấn Độ.","VPRINT MACHINERY - GIẢI PHÁP MỚI CHO NGÀNH IN VÀ BAO BÌ Máy làm tập vở kiểu khâu chỉ tự động từ chồng giấy đã vào bìa sẵn được cấp thủ công. Với các chức năng khâu chỉ giữa, gấp, ép vuông gáy, xén bụng, dán băng keo gáy, cắt 2 đầu. Chất lượng thành phẩm cao, độ bền cao, dễ dàng sử dụng và bảo dưỡng. Dây chuyền làm tập vở khâu chỉ COMPO-B104",+ Chi phí sản xuất thấp + Nhân lực tối thiểu + Hiệu suất nhất quán + Đầu ra chất lượng tuyệt vời + Thời gian hoàn vốn ngắn + Lợi nhuận cao hơn và tuổi thọ cao hơn + Dễ vận hành và chi phí bảo trì thấp,"{""Năng suất (chu kỳ/phút)"": ""30"", ""Số cuốn mỗi chu kỳ (max)"": ""5"", ""Chiều rộng chồng giấy đầu vào (mm)"": ""750 – 1040"", ""Đếm tờ"": ""10 – 50 tờ (40 – 200 trang)"", ""Định lượng giấy (gsm)"": ""40 – 70"", ""Kiểu khâu"": ""Khâu chằng (lock stitch)"", ""Độ dày khâu tối đa (mm)"": ""5"", ""Diện tích sàn (m)"": ""17 x 13 X 4""}","https://vprintmachinery.com/upload/hinhthem/0222-7634.jpg, https://vprintmachinery.com/upload/sanpham/Vprint_catalog_2022-7982.jpg",,,,
